Id,sentence,label
0,What are you seeing?,0
1,Well obviously this is a good movie,1
2,That was great!,0
3,Hi there! How's your day?,0
4,I'm not feeling good,6
5,I want to try that ice cream,5
6,Have you ever tried the japanese ghost house?,6
7,I am dissapointed,8
8,That was epic!,9
9,I don't know,3
10,The food is so delicious,5
11,I hate you,4
12,I want cookies and cream flavored food,5
13,I was shocked,7
14,Your dog is so cute,2
15,I am sad,3
16,My phone is broken,3
17,I love you,2
18,The chicken is so juicy,5
19,Gordon Ramsay is such a great chef,9
20,The game storyline is so awful,10
21,I feel like I want to throw up,6
22,I like strawberry,2
23,I can't believe you cheated on me,8
24,How are you?,0
25,He was such a jerk,10
26,I feel like I want to cry,3
27,I want to play but my brother didn't let me,4
28,My mom's cooking is so good,5
29,I am on my way to your house,0
30,I recommend this game,9
31,Definitely the best game of the year,9
32,This is the best food I ever taste,5
33,The flavor is so unique,5
34,I just finished eating,1
35,Can we be friends?,0
36,Who is your favorite character?,0
37,Thank you,9
38,Just relaxing,0
39,Why don’t you call me earlier?,4
40,I have a present for you,0
41,Do you really just broke up with her?,7
42,How did you do that?,7
43,I can't believe what we're seeing,6
44,That joke is so funny!,1
45,That was unfortunate,3
46,You are not a good guy anymore,10
47,He rejected me,8
48,She didn't accept my proposal,8
49,I feel so heartbroken,8
50,My computer got infected by a virus,3
51,Why don't you help her?,10
52,I want to watch a movie,2
53,Okay,9
54,Sure,9
55,My book is gone,3
56,I cant think of anything,6
57,I am tired,6
58,I feel so useless,6
59,Why cant you be anymore useless than that?,4
60,Just a little bit more,0
61,I have to go right now,3
62,Great job!,9
63,You are doing great,9
64,Your performance is not as good as in practice,10
65,Why don't you come to my party?,3
66,That rollercoaster is so fun,1
67,The cat is so fluffy,2
68,Japanese language is so hard,3
69,Good game,9
70,The cat is so cute,2
71,The house is built so fast,7
72,He ran so fast,7
73,He took my wallet without my permission,4
74,He opened my phone,4
75,I don’t want to think of it,6
76,I got a brand new phone,0
77,He feel of his chair,1
78,I hope everyone comes,6
79,My dog died this morning,3
80,Why am I born in this world,3
